10-000-maniacs--a-campfire-song	10,000 Maniacs	A Campfire Song
the-beatles--what-you-re-doing	The Beatles	What You're Doing
the-beatles--when-i-get-home	The Beatles	When I Get Home
the-beatles--when-i-m-64	The Beatles	When I'm 64
the-beatles--while-my-guitar-gently-weeps	The Beatles	While My Guitar Gently Weeps
the-beatles--whole-lotta-shakin-goin-on	The Beatles	Whole Lotta Shakin' Goin' On
the-beatles--why	The Beatles	Why
the-beatles--why-don-t-we-do-it-in-the-road	The Beatles	Why Don't We Do It in the Road
the-beatles--wild-honey-pie	The Beatles	Wild Honey Pie
the-beatles--with-a-little-help-from-my-friends	The Beatles	With a Little Help From My Friends
the-beatles--within-you-without-you	The Beatles	Within You Without You
the-beatles--words-of-love	The Beatles	Words Of Love
the-beatles--yellow-submarine	The Beatles	Yellow Submarine
the-beatles--yer-blues	The Beatles	Yer Blues
the-beatles--yes-it-is	The Beatles	Yes It Is
the-beatles--yesterday	The Beatles	Yesterday
the-beatles--you-are-my-sunshine	The Beatles	You Are My Sunshine
the-beatles--you-can-t-do-that	The Beatles	You Can't Do That
the-beatles--you-know-my-name	The Beatles	You Know My Name (Look Up the Number)
the-beatles--you-know-what-to-do	The Beatles	You Know What to Do
the-beatles--you-like-me-too-much	The Beatles	You Like Me Too Much
the-beatles--you-never-give-me-your-money	The Beatles	You Never Give Me Your Money
the-beatles--you-re-going-to-lose-that-girl	The Beatles	You're Going to Lose That Girl
the-beatles--you-really-got-a-hold-on-me	The Beatles	You Really Got a Hold on Me
the-beatles--you-ve-got-to-hide-your-love-away	The Beatles	You've Got to Hide Your Love Away
the-beatles--you-won-t-see-me	The Beatles	You Won't See Me
the-beatles--youngblood	The Beatles	Youngblood
the-beatles--your-mother-should-know	The Beatles	Your Mother Should Know
the-beatles--youve-got-to-hide-your-love-away	The Beatles	Youve Got to Hide Your Love Away
the-beau-brummels--laugh-laugh	The Beau Brummels	Laugh Laugh
the-beautiful-south--don-t-marry-her	The Beautiful South	Don't Marry Her
the-blue-diamonds--ramona	The Blue Diamonds	Ramona
the-bluebells--young-at-heart	The Bluebells	Young At Heart
the-bluegrass-cardinals--pretty-red-wing	The Bluegrass Cardinals	Pretty Red Wing
the-blues-brothers--everybody-needs-somebody-to-love	The Blues Brothers	Everybody Needs Somebody to Love
the-blues-brothers--gimme-some-lovin	The Blues Brothers	Gimme Some Lovin'
the-blues-brothers--peter-gunn-theme	The Blues Brothers	Peter Gunn Theme
the-blues-brothers--soul-man	The Blues Brothers	Soul Man
the-blues-brothers--sweet-home-chicago	The Blues Brothers	Sweet Home Chicago
the-boomtown-rats--i-don-t-like-monday-s	The Boomtown Rats	I Don't Like Monday's
the-box-tops--cry-like-a-baby	The Box Tops	Cry Like A Baby
the-box-tops--the-letter	The Box Tops	The Letter
the-boys--dial-my-heart	The Boys	Dial My Heart
the-brecker-brothers--lovely-lady	The Brecker Brothers	Lovely Lady
the-brian-setzer-orchestra--jump-jive-an-wail	The Brian Setzer Orchestra	Jump Jive an Wail
the-brothers-four--frogg-no-2	The Brothers Four	Frogg No. 2
the-buckinghams--hey-baby	The Buckinghams	Hey Baby (They're Playing Our Song)
the-buckinghams--kind-of-a-drag	The Buckinghams	Kind Of A Drag
the-buckinghams--mercy-mercy-mercy	The Buckinghams	Mercy, Mercy, Mercy
the-byrds--eight-miles-high	The Byrds	Eight Miles High
the-byrds--goin-back	The Byrds	Goin' Back
the-byrds--mr-tamborine-man	The Byrds	Mr Tamborine Man
the-byrds--mr-tambourine-man	The Byrds	Mr. Tambourine Man
the-byrds--the-bells-of-rhymney	The Byrds	The Bells Of Rhymney
the-byrds--turn-turn-turn	The Byrds	Turn! Turn! Turn!
the-byrds--you-ain-t-goin-nowhere	The Byrds	You Ain't Goin' Nowhere
the-cardigans--erase-rewind	The Cardigans	Erase & Rewind
the-cardigans--love-fool	The Cardigans	Love Fool
the-cardigans--my-favorite-game	The Cardigans	My Favorite Game
the-cars--bye-bye-love	The Cars	Bye Bye Love
the-cars--drive	The Cars	Drive
the-cars--good-times-roll	The Cars	Good Times Roll
the-cars--it-s-all-i-can-do	The Cars	It's All I Can Do
the-cars--just-what-i-needed	The Cars	Just What I Needed
the-cars--let-s-go	The Cars	Let's Go
the-cars--my-best-friend-s-girl	The Cars	My Best Friend's Girl
the-cars--shake-it-up	The Cars	Shake It Up
the-cars--tonight-she-comes	The Cars	Tonight She Comes
the-cars--you-might-think	The Cars	You Might Think
the-castaways--liar-liar	The Castaways	Liar, Liar
the-chaplin-band--let-s-have-a-party	The Chaplin Band	Let's Have a Party
the-charmaines--eternally	The Charmaines	Eternally
the-chi-lites--oh-girl	The Chi-Lites	Oh Girl
the-chiffons--he-s-so-fine	The Chiffons	He's So Fine
the-chiffons--one-fine-day	The Chiffons	One Fine Day
the-chiffons--sweet-talkin-guy	The Chiffons	Sweet Talkin' Guy
the-chordettes--lollipop	The Chordettes	Lollipop
the-christians--what-s-in-a-word	The Christians	What's In A Word
the-clash--london-s-burning	The Clash	London's Burning
the-clash--rock-in-the-casbah	The Clash	Rock in the Casbah
the-clash--should-i-stay-or-should-i-go	The Clash	Should I Stay or Should I Go
the-commitments--mustang-sally	The Commitments	Mustang Sally
the-contours--do-you-love-me	The Contours	Do You Love Me
the-corrs--all-in-a-day	The Corrs	All in a Day
the-corrs--along-with-the-girls	The Corrs	Along With the Girls
the-corrs--at-your-side	The Corrs	At Your Side
the-corrs--breathless	The Corrs	Breathless
the-corrs--carraroe-jig	The Corrs	Carraroe Jig
the-corrs--closer	The Corrs	Closer
the-corrs--don-t-say-you-love-me	The Corrs	Don't Say You Love Me
the-corrs--dreams	The Corrs	Dreams
the-corrs--forgiven-not-forgotten	The Corrs	Forgiven Not Forgotten
the-corrs--haste-to-the-wedding	The Corrs	Haste to the Wedding
the-corrs--heaven-knows	The Corrs	Heaven Knows
the-corrs--i-know-my-love	The Corrs	I Know My Love
the-corrs--i-never-loved-you-anyway	The Corrs	I Never Loved You Anyway
the-corrs--intimacy	The Corrs	Intimacy
the-corrs--leave-me-alone	The Corrs	Leave Me Alone
the-corrs--lough-erin-shore	The Corrs	Lough Erin Shore
the-corrs--love-gives-love-takes	The Corrs	Love Gives Love Takes
the-corrs--love-to-love-you	The Corrs	Love to Love You
the-corrs--no-frontiers	The Corrs	No Frontiers
the-corrs--no-good-for-me	The Corrs	No Good for Me
the-corrs--old-town	The Corrs	Old Town
the-corrs--on-my-father-s-wings	The Corrs	On My Father's Wings
the-corrs--only-when-i-sleep	The Corrs	Only When I Sleep
the-corrs--queen-of-hollywood	The Corrs	Queen of Hollywood
the-corrs--radio	The Corrs	Radio
the-corrs--rainy-day	The Corrs	Rainy Day
the-corrs--runaway	The Corrs	Runaway (Tin Tin Out remix)
the-corrs--secret-life	The Corrs	Secret Life
the-corrs--so-young	The Corrs	So Young
the-corrs--someday	The Corrs	Someday
the-corrs--the-minstrel-boy	The Corrs	The Minstrel Boy
the-corrs--the-right-time	The Corrs	The Right Time (radio edit)
the-corrs--toss-the-feathers	The Corrs	Toss the Feathers
the-corrs--una-noche	The Corrs	Una Noche (feat. Alejandro Sanz)
the-corrs--what-can-i-do	The Corrs	What Can I Do
the-corrs--when-he-s-not-around	The Corrs	When He's Not Around
the-cover-girls--wishing-on-a-star	The Cover Girls	Wishing on a Star
the-cowsills--hair	The Cowsills	Hair
the-cowsills--silver-threads-and-golden-needles	The Cowsills	Silver Threads And Golden Needles
the-cranberries--analyse	The Cranberries	Analyse
the-cranberries--animal-instinct	The Cranberries	Animal Instinct
the-cranberries--away	The Cranberries	Away
the-cranberries--close-to-you	The Cranberries	(They Long to Be) Close to You
the-cranberries--cordell	The Cranberries	Cordell
the-cranberries--daffodil-lament	The Cranberries	Daffodil Lament
the-cranberries--disappointment	The Cranberries	Disappointment
the-cranberries--dreaming-my-dreams	The Cranberries	Dreaming My Dreams
the-cranberries--dreams	The Cranberries	Dreams
the-cranberries--electric-blue	The Cranberries	Electric Blue
the-cranberries--empty	The Cranberries	Empty
the-cranberries--everything-i-said	The Cranberries	Everything I Said
the-cranberries--forever-yellow-skies	The Cranberries	Forever Yellow Skies
the-cranberries--free-to-decide	The Cranberries	Free to Decide
the-cranberries--hollywood	The Cranberries	Hollywood
the-cranberries--how	The Cranberries	How
the-cranberries--i-can-t-be-with-you	The Cranberries	I Can't Be With You
the-cranberries--i-just-shot-john-lennon	The Cranberries	I Just Shot John Lennon
the-cranberries--i-m-still-remembering	The Cranberries	I'm Still Remembering
the-cranberries--i-still-do	The Cranberries	I Still Do
the-cranberries--i-will-always	The Cranberries	I Will Always
the-cranberries--intermission	The Cranberries	Intermission
the-cranberries--joe	The Cranberries	Joe
the-cranberries--just-my-imagination	The Cranberries	Just My Imagination
the-cranberries--linger	The Cranberries	Linger
the-cranberries--not-sorry	The Cranberries	Not Sorry
the-cranberries--ode-to-my-family	The Cranberries	Ode to My Family
the-cranberries--pathetic-senses	The Cranberries	Pathetic Senses
the-cranberries--pretty	The Cranberries	Pretty
the-cranberries--promises	The Cranberries	Promises
the-cranberries--put-me-down	The Cranberries	Put Me Down
the-cranberries--salvation	The Cranberries	Salvation
the-cranberries--so-cold-in-ireland	The Cranberries	So Cold in Ireland
the-cranberries--sunday	The Cranberries	Sunday
the-cranberries--the-icicle-melts	The Cranberries	The Icicle Melts
the-cranberries--the-picture-i-view	The Cranberries	The Picture I View
the-cranberries--the-rebels	The Cranberries	The Rebels
the-cranberries--tomorrow	The Cranberries	Tomorrow
the-cranberries--twenty-one	The Cranberries	Twenty One
the-cranberries--uncertain	The Cranberries	Uncertain
the-cranberries--waltzing-back	The Cranberries	Waltzing Back
the-cranberries--wanted	The Cranberries	Wanted
the-cranberries--war-child	The Cranberries	War Child
the-cranberries--what-you-were	The Cranberries	What You Were
the-cranberries--when-you-re-gone	The Cranberries	When You're Gone
the-cranberries--will-you-remember	The Cranberries	Will You Remember?
the-cranberries--yeats-grave	The Cranberries	Yeats Grave
the-cranberries--zombie	The Cranberries	Zombie
the-crystals--he-s-a-rebel	The Crystals	He's A Rebel
the-crystals--there-s-no-other	The Crystals	There's No Other (Like My Baby)
the-cult--rain	The Cult	Rain
the-cult--sanctuary	The Cult	(She Sells) Sanctuary
the-cult--wild-flower	The Cult	Wild Flower
the-cult--wild-hearted-son	The Cult	Wild Hearted Son
the-cure--a-thousand-hours	The Cure	A Thousand Hours
the-cure--all-cats-are-grey	The Cure	All Cats Are Grey
the-cure--apart	The Cure	Apart
the-cure--boys-don-t-cry	The Cure	Boys Don't Cry
the-cure--close-to-me	The Cure	Close to Me
the-cure--fascination-street	The Cure	Fascination Street
the-cure--friday-i-m-in-love	The Cure	Friday I'm In Love
the-cure--high	The Cure	High
the-cure--hot-hot-hot	The Cure	Hot Hot Hot!!!
the-cure--just-like-heaven	The Cure	Just Like Heaven
the-cure--kyoto-song	The Cure	Kyoto Song
the-cure--lament	The Cure	Lament
the-cure--lullaby	The Cure	Lullaby
the-cure--six-different-ways	The Cure	Six Different Ways
the-cure--the-figurehead	The Cure	The Figurehead
the-cyrkle--red-rubber-ball	The Cyrkle	Red Rubber Ball
the-dave-clark-five--any-way-you-want-it	The Dave Clark Five	Any Way You Want It
the-dave-clark-five--because	The Dave Clark Five	Because
the-dave-clark-five--bits-and-pieces	The Dave Clark Five	Bits and Pieces
the-dave-clark-five--catch-us-if-you-can	The Dave Clark Five	Catch Us If You Can
the-dave-clark-five--glad-all-over	The Dave Clark Five	Glad All Over
the-dinky-toys--out-in-the-streets	The Dinky Toys	Out in the Streets
the-doobie-brothers--china-grove	The Doobie Brothers	China Grove
the-doobie-brothers--echoes-of-love	The Doobie Brothers	Echoes Of Love
the-doobie-brothers--it-keeps-you-runnin	The Doobie Brothers	It Keeps You Runnin'
the-doobie-brothers--listen-to-the-music	The Doobie Brothers	Listen to the Music
the-doobie-brothers--long-train-runnin	The Doobie Brothers	Long Train Runnin'
the-doobie-brothers--long-train-running	The Doobie Brothers	Long Train Running
the-doobie-brothers--minute-by-minute	The Doobie Brothers	Minute by Minute
the-doobie-brothers--need-a-little-taste-of-love	The Doobie Brothers	Need a Little Taste of Love
the-doobie-brothers--take-me-in-your-arms	The Doobie Brothers	Take Me in Your Arms
the-doobie-brothers--takin-it-to-the-streets	The Doobie Brothers	Takin' It to the Streets
the-doobie-brothers--what-a-fool-believes	The Doobie Brothers	What A Fool Believes
the-doors--20th-century-fox	The Doors	20th Century Fox
the-doors--break-on-through	The Doors	Break On Through (to the Other Side)
the-doors--end-of-the-night	The Doors	End of the Night
the-doors--hello-i-love-you	The Doors	Hello, I Love You
the-doors--hello-i-love-you-won-t-you-tell-me-your-name	The Doors	Hello, I Love You, Won't You Tell Me Your Name?
the-doors--la-woman	The Doors	La Woman
the-doors--light-my-fire	The Doors	Light My Fire
the-doors--love-her-madly	The Doors	Love Her Madly
the-doors--love-me-two-times	The Doors	Love Me Two Times
the-doors--people-are-strange	The Doors	People Are Strange
the-doors--riders-on-the-storm	The Doors	Riders On The Storm
the-doors--roadhouse-blues	The Doors	Roadhouse Blues
the-doors--spanish-caravan	The Doors	Spanish Caravan
the-doors--strange-days	The Doors	Strange Days
the-doors--the-crystal-ship	The Doors	The Crystal Ship
the-doors--the-unknown-soldier	The Doors	The Unknown Soldier
the-doors--touch-me	The Doors	Touch Me
the-dramatics--hey-you-get-off-my-mountain	The Dramatics	Hey You! Get Off My Mountain
the-drifters--on-broadway	The Drifters	On Broadway
the-drifters--save-the-last-dance-for-me	The Drifters	Save The Last Dance For Me
the-drifters--this-magic-moment	The Drifters	This Magic Moment
the-drifters--up-on-the-roof	The Drifters	Up on the Roof
the-easybeats--friday-on-my-mind	The Easybeats	Friday On My Mind
the-electric-prunes--i-had-too-much-to-dream	The Electric Prunes	I Had Too Much To Dream (Last Night)
the-escape-club--shake-for-the-sheik	The Escape Club	Shake for the Sheik
the-everly-brothers--all-i-have-to-do-is-dream	The Everly Brothers	All I Have to Do Is Dream
the-everly-brothers--bird-dog	The Everly Brothers	Bird Dog
the-everly-brothers--bye-bye-love	The Everly Brothers	Bye Bye Love
the-everly-brothers--cathy-s-clown	The Everly Brothers	Cathy's Clown
the-everly-brothers--crying-in-the-rain	The Everly Brothers	Crying in the Rain
the-everly-brothers--ebony-eyes	The Everly Brothers	Ebony Eyes
the-everly-brothers--i-kissed-you	The Everly Brothers	('Till) I Kissed You
the-everly-brothers--let-it-be-me	The Everly Brothers	Let It Be Me
the-everly-brothers--that-ll-be-the-day	The Everly Brothers	That'll Be the Day
the-everly-brothers--that-s-old-fashioned	The Everly Brothers	That's Old Fashioned (That's The Way Love Should Be)
the-everly-brothers--wake-up-little-susie	The Everly Brothers	Wake Up Little Susie
the-everly-brothers--walk-right-back	The Everly Brothers	Walk Right Back
the-everly-brothers--when-will-i-be-loved	The Everly Brothers	When Will I Be Loved?
the-fabulous-thunderbirds--tuff-enuff	The Fabulous Thunderbirds	Tuff Enuff
the-fabulous-thunderbirds--wrap-it-up	The Fabulous Thunderbirds	Wrap It Up
the-falcons--i-found-a-love	The Falcons	I Found A Love
the-fireballs--sugar-shack	The Fireballs	Sugar Shack
the-five-satins--in-the-still-of-the-nite	The Five Satins	In the Still of the Nite
the-five-stairsteps--o-o-h-child	The Five Stairsteps	O o h Child
the-flying-pickets--only-you	The Flying Pickets	Only You
the-folk-implosion--natural-one	The Folk Implosion	Natural One
the-four-aces--the-gang-that-sang-heart-of-my-heart	The Four Aces	The Gang That Sang "Heart of My Heart"
the-four-preps--26-miles	The Four Preps	26 Miles (Santa Catalina)
the-four-seasons--big-girls-don-t-cry	The Four Seasons	Big Girls Don't Cry
the-four-seasons--big-girls-dont-cry	The Four Seasons	Big Girls Dont Cry (dirty Dancing)
the-four-seasons--dawn	The Four Seasons	Dawn (Go Away)
the-four-seasons--december-63	The Four Seasons	December '63 (Oh What a Night)
the-four-seasons--i-ve-got-you-under-my-skin	The Four Seasons	I've Got You Under My Skin
the-four-seasons--our-day-will-come	The Four Seasons	Our Day Will Come
the-four-seasons--rag-doll	The Four Seasons	Rag Doll
the-four-seasons--ronnie	The Four Seasons	Ronnie
the-four-seasons--sherry	The Four Seasons	Sherry
the-four-seasons--sherry-walk-like-a-man-big-girls-don-t-cry-bye-bye-baby	The Four Seasons	Sherry Walk Like a Man Big Girls Don't Cry Bye Bye Baby (Baby Good Bye)
the-four-seasons--silence-is-golden	The Four Seasons	Silence Is Golden
the-four-seasons--walk-like-a-man	The Four Seasons	Walk Like A Man
the-four-seasons--will-you-still-love-me	The Four Seasons	Will You Still Love Me (Tomorrow)
the-gap-band--oops-up-side-your-head	The Gap Band	Oops Up Side Your Head
the-gap-band--outstanding	The Gap Band	Outstanding
the-gap-band--you-dropped-the-bomb-on-me	The Gap Band	You Dropped the Bomb on Me
the-go-go-s--cool-jerk	The Go-Go's	Cool Jerk
the-go-go-s--our-lips-are-sealed	The Go-Go's	Our Lips Are Sealed
the-go-go-s--vacation	The Go-Go's	Vacation
the-go-go-s--we-got-the-beat	The Go-Go's	We Got The Beat
the-grass-roots--let-s-live-for-today	The Grass Roots	Let's Live for Today
the-grass-roots--midnight-confession	The Grass Roots	Midnight Confession
the-grass-roots--sooner-or-later	The Grass Roots	Sooner or Later
the-grass-roots--temptation-eyes	The Grass Roots	Temptation Eyes
the-grass-roots--two-divided-by-love	The Grass Roots	Two Divided by Love
the-happenings--see-you-in-september	The Happenings	See You In September
the-hollies--blowing-in-the-wind	The Hollies	Blowing in the Wind
the-hollies--bus-stop	The Hollies	Bus Stop
the-hollies--carrie-ann	The Hollies	Carrie Ann
the-hollies--carrie-anne	The Hollies	Carrie-Anne
the-hollies--dear-eloise	The Hollies	Dear Eloise
the-hollies--he-ain-t-heavy-he-s-my-brother	The Hollies	He Ain't Heavy, He's My Brother
the-hollies--i-m-alive	The Hollies	I'm Alive
the-hollies--jennifer-eccles	The Hollies	Jennifer Eccles
the-hollies--king-midas-in-reverse	The Hollies	King Midas in Reverse
the-hollies--long-cool-woman	The Hollies	Long Cool Woman (In a Black Dress)
the-hollies--long-dark-road	The Hollies	Long Dark Road
the-hollies--mighty-quinn	The Hollies	Mighty Quinn
the-hollies--on-a-carousel	The Hollies	On a Carousel
the-hollies--pay-you-back-with-interest	The Hollies	Pay You Back With Interest
the-hollies--stop-stop-stop	The Hollies	Stop, Stop, Stop
the-hollies--the-air-that-i-breathe	The Hollies	The Air That I Breathe
the-honeydrippers--sea-of-love	The Honeydrippers	Sea of Love
the-hooters--all-you-zombies	The Hooters	All You Zombies
the-hooters--and-we-danced	The Hooters	And We Danced
the-human-league--don-t-you-want-me	The Human League	Don't You Want Me
the-human-league--dont-you-want-me	The Human League	Dont You Want Me
the-human-league--tell-me-when	The Human League	Tell Me When
the-ink-spots--whispering-grass	The Ink Spots	Whispering Grass (Don't Tell the Trees)
the-isley-brothers--harvest-for-the-world	The Isley Brothers	Harvest for the World (Prelude)
the-isley-brothers--it-s-your-thing	The Isley Brothers	It's Your Thing
the-isley-brothers--shout	The Isley Brothers	Shout
the-j-geils-band--centerfold	The J. Geils Band	Centerfold
the-j-geils-band--freeze-frame	The J. Geils Band	Freeze-Frame
the-j-geils-band--just-can-t-wait	The J. Geils Band	Just Can't Wait
the-j-geils-band--looking-for-a-love	The J. Geils Band	Looking For A Love
the-j-geils-band--must-of-got-lost	The J. Geils Band	Must Of Got Lost
the-j-geils-band--one-last-kiss	The J. Geils Band	One Last Kiss
the-jacksons--dancing-machine	The Jacksons	Dancing Machine
the-jacksons--i-want-you-back	The Jacksons	I Want You Back
the-kelly-family--an-angel	The Kelly Family	An Angel
the-kelly-family--first-time	The Kelly Family	First Time
the-kelly-family--i-can-t-help-myself	The Kelly Family	I Can't Help Myself
the-kelly-family--roses-of-red	The Kelly Family	Roses of Red
the-kendalls--heaven-s-just-a-sin-away	The Kendalls	Heaven's Just A Sin Away
the-kinks--better-things	The Kinks	Better Things
the-kinks--chirpy-chirpy-cheep-cheep	The Kinks	Chirpy Chirpy Cheep Cheep
the-kinks--lola-the-kinks-christmas-concert-1977	The Kinks	Lola - The Kinks Christmas Concert, 1977
the-kinks--sunday-afternoon	The Kinks	Sunday Afternoon
the-kinks--till-the-end-of-the-day	The Kinks	Till The End Of The Day
the-kinks--waterloo-sunset	The Kinks	Waterloo Sunset
the-kinks--you-really-got-me	The Kinks	You Really Got Me
the-klf--justified-and-ancient	The KLF	Justified and Ancient
the-klf--what-time-is-love	The KLF	What Time Is Love (LP-mix)
the-knack--good-girls-don-t	The Knack	Good Girls Don't
the-knack--my-sharona	The Knack	My Sharona
the-la-s--there-she-goes	The La's	There She Goes
the-left-banke--walk-away-renee	The Left Banke	Walk Away Renee
the-lemon-pipers--green-tambourine	The Lemon Pipers	Green Tambourine
the-lemonheads--mrs-robinson	The Lemonheads	Mrs Robinson
the-lemonheads--rest-assured	The Lemonheads	Rest Assured
the-lovin-spoonful--daydream	The Lovin' Spoonful	Daydream
the-lovin-spoonful--do-you-believe-in-magic	The Lovin' Spoonful	Do You Believe in Magic
the-lovin-spoonful--summer-in-the-city	The Lovin' Spoonful	Summer In The City
the-lovin-spoonful--you-didn-t-have-to-be-so-nice	The Lovin' Spoonful	You Didn't Have to Be So Nice
the-main-ingredient--just-don-t-want-to-be-lonely	The Main Ingredient	Just Don't Want to Be Lonely
the-mamas-the-papas--dedicated-to-the-one-i-love	The Mamas & The Papas	Dedicated To The One I Love
the-mamas-the-papas--i-saw-her-again-last-night	The Mamas & The Papas	I Saw Her Again Last Night
the-mamas-the-papas--you-baby	The Mamas & The Papas	You Baby
the-manhattan-transfer--boy-from-new-york-city	The Manhattan Transfer	Boy From New York City
the-manhattan-transfer--chanson-d-amour	The Manhattan Transfer	Chanson D'Amour
the-manhattan-transfer--the-speak-up-mambo	The Manhattan Transfer	The Speak Up Mambo (Cuentame)
the-manhattan-transfer--tuxedo-junction	The Manhattan Transfer	Tuxedo Junction
the-manhattan-transfer--twilight-zone-twilight-tone	The Manhattan Transfer	Twilight Zone   Twilight Tone
the-manhattans--kiss-and-say-goodbye	The Manhattans	Kiss and Say Goodbye
the-marcels--blue-moon	The Marcels	Blue Moon
the-marshall-tucker-band--heard-it-in-a-love-song	The Marshall Tucker Band	Heard It in a Love Song
the-mavericks--dance-the-night-away	The Mavericks	Dance the Night Away
the-mavericks--i-don-t-care	The Mavericks	I Don't Care (If You Love Me Anymore)
the-mavericks--i-should-have-been-true	The Mavericks	I Should Have Been True
the-mavericks--one-step-away	The Mavericks	One Step Away
the-mavericks--there-goes-my-heart	The Mavericks	There Goes My Heart
the-mcguire-sisters--goodnight-my-love	The McGuire Sisters	Goodnight My Love
the-meters--look-ka-py-py	The Meters	Look-Ka Py Py
the-mighty-mighty-bosstones--the-impression-that-i-get	The Mighty Mighty Bosstones	The Impression That I Get
the-mighty-mighty-bosstones--the-rascal-king	The Mighty Mighty Bosstones	The Rascal King
the-mindbenders--a-groovy-kind-of-love	The Mindbenders	A Groovy Kind of Love
the-miracles--baby-baby-don-t-cry	The Miracles	Baby, Baby Don't Cry
the-miracles--i-don-t-blame-you-at-all	The Miracles	I Don't Blame You At All
the-miracles--i-second-that-emotion	The Miracles	I Second That Emotion
the-miracles--mighty-good-lovin	The Miracles	Mighty Good Lovin'
the-moments--walk-right-in	The Moments	Walk Right In
the-monkees--a-little-bit-me-a-little-bit-you	The Monkees	A Little Bit Me, A Little Bit You
the-monkees--day-dream-believer	The Monkees	Day Dream Believer
the-monkees--daydream-believer	The Monkees	Daydream Believer
the-monkees--i-m-a-believer	The Monkees	I'm A Believer
the-monkees--i-wanna-be-free	The Monkees	I Wanna Be Free
the-monkees--last-train-to-clarksville	The Monkees	Last Train to Clarksville
the-monkees--pleasant-valley-sunday	The Monkees	Pleasant Valley Sunday
the-monkees--shades-of-grey	The Monkees	Shades Of Grey
the-monkees--steppin-stone	The Monkees	(I'm Not Your) Steppin' Stone
the-monkees--the-girl-i-knew-somewhere	The Monkees	The Girl I Knew Somewhere
the-monkees--the-monkees	The Monkees	(Theme From) The Monkees
the-monkees--valleri	The Monkees	Valleri
the-moody-blues--breaking-point	The Moody Blues	Breaking Point
the-moody-blues--for-my-lady	The Moody Blues	For My Lady
the-moody-blues--gemini-dream	The Moody Blues	Gemini Dream
the-moody-blues--go-now	The Moody Blues	Go Now
the-moody-blues--i-m-just-a-singer	The Moody Blues	I'm Just a Singer (In a Rock and Roll Band)
the-moody-blues--rock-n-roll-over-you	The Moody Blues	Rock 'N' Roll Over You
the-moody-blues--the-night-nights-in-white-satin	The Moody Blues	The Night: Nights in White Satin
the-moody-blues--the-other-side-of-life	The Moody Blues	The Other Side of Life
the-moody-blues--the-story-in-your-eyes	The Moody Blues	The Story in Your Eyes
the-moody-blues--the-voice	The Moody Blues	The Voice
the-moody-blues--tuesday-afternoon	The Moody Blues	Tuesday Afternoon
the-moody-blues--your-wildest-dreams	The Moody Blues	Your Wildest Dreams
the-music-explosion--little-bit-o-soul	The Music Explosion	Little Bit O' Soul
the-music-machine--the-people-in-me	The Music Machine	The People In Me
the-new-colony-six--i-will-always-think-about-you	The New Colony Six	I Will Always Think About You
the-new-seekers--i-d-like-to-teach-the-world-to-sing	The New Seekers	I'd Like To Teach The World To Sing
the-notorious-b-i-g--big-poppa	The Notorious B.I.G.	Big Poppa
the-notorious-b-i-g--miss-u	The Notorious B.I.G.	Miss U
the-notorious-b-i-g--mo-money-mo-problems	The Notorious B.I.G.	Mo Money Mo Problems
the-notorious-b-i-g--notorious-thugs	The Notorious B.I.G.	Notorious Thugs
the-notorious-b-i-g--one-more-chance	The Notorious B.I.G.	One More Chance
the-notorious-b-i-g--ready-to-die	The Notorious B.I.G.	Ready to Die
the-o-jays--i-love-music	The O'Jays	I Love Music
the-o-jays--love-train	The O'Jays	Love Train
the-offspring--all-i-want	The Offspring	All I Want
the-offspring--amazed	The Offspring	Amazed
the-offspring--change-the-world	The Offspring	Change the World
the-offspring--come-out-and-play	The Offspring	Come Out and Play
the-offspring--cool-to-hate	The Offspring	Cool To Hate
the-offspring--don-t-pick-it-up	The Offspring	Don't Pick It Up
the-offspring--genocide	The Offspring	Genocide
the-offspring--gone-away	The Offspring	Gone Away
the-offspring--gotta-get-away	The Offspring	Gotta Get Away
the-offspring--i-choose	The Offspring	I Choose
the-offspring--leave-it-behind	The Offspring	Leave It Behind
the-offspring--me-my-old-lady	The Offspring	Me & My Old Lady
the-offspring--mota	The Offspring	Mota
the-offspring--nitro	The Offspring	Nitro (Youth Energy)
the-offspring--original-prankster	The Offspring	Original Prankster
the-offspring--pretty-fly	The Offspring	Pretty Fly (For a White Guy)
the-offspring--self-esteem	The Offspring	Self Esteem
the-offspring--session	The Offspring	Session
the-offspring--she-s-got-issues	The Offspring	She's Got Issues
the-offspring--the-kids-aren-t-alright	The Offspring	The Kids Aren't Alright
the-offspring--walla-walla	The Offspring	Walla Walla
the-offspring--way-down-the-line	The Offspring	Way Down the Line
the-offspring--why-don-t-you-get-a-job	The Offspring	Why Don't You Get a Job?
the-osmonds--one-bad-apple	The Osmonds	One Bad Apple
the-outfield--closer-to-me	The Outfield	Closer to Me
the-outhere-brothers--boom-boom-boom	The Outhere Brothers	Boom Boom Boom
the-outhere-brothers--don-t-stop	The Outhere Brothers	Don't Stop (Wiggle Wiggle)
the-partridge-family--i-think-i-love-you	The Partridge Family	I Think I Love You
the-pasadenas--i-m-doing-fine-now	The Pasadenas	I'm Doing Fine Now
the-platters--great-pretender	The Platters	Great Pretender
the-platters--only-you	The Platters	Only You
the-platters--save-the-last-dance-for-me	The Platters	Save the Last Dance for Me
the-platters--smoke-gets-in-your-eyes	The Platters	Smoke Gets in Your Eyes
